project,date,commit_hash,files,statements,assignment_expression_files_percentage,variable_annotation_files_percentage,function_with_annotation_files_percentage,function_without_annotation_files_percentage,assign_files_percentage,assign_with_type_comment_files_percentage,aug_assign_files_percentage
4am-robotics_cob_command_tools,2024-12-31,1f4f470157bf739be96cd611efa7dd4c3f4b5447,44.0,4744.0,0.0,0.0,0.0,86.36363636363636,100.0,6.8181818181818175,22.727272727272727
GothenburgBitFactory_bugwarrior,2024-12-31,3ca4c5bb25e289359ba132fd84363592a2648536,74.0,6431.0,0.0,39.189189189189186,12.162162162162163,93.24324324324324,100.0,0.0,14.864864864864865
MarketSquare_Rammbock,2024-12-31,a55c760d2f07e90478093eeafcc3e907cb6c174e,44.0,3503.0,0.0,0.0,0.0,79.54545454545455,81.81818181818183,0.0,11.363636363636363
acoustid_acoustid-server,2024-12-31,a3349bafd92e834ae9a584fd480e6e690e9be736,89.0,5569.0,0.0,4.49438202247191,23.595505617977526,71.91011235955057,92.13483146067416,14.606741573033707,12.359550561797752
agateau_yokadi,2024-12-31,6253a763c7fc5324a85b9005fa21521725aaf32d,70.0,4856.0,0.0,0.0,0.0,94.28571428571428,90.0,0.0,10.0
ajenti_ajenti,2024-12-31,1b339a2013d5d31d6c340afb698cb3f649802abc,134.0,6170.0,0.0,0.7462686567164178,0.0,99.25373134328358,87.31343283582089,0.0,12.686567164179104
akvo_akvo-rsr,2024-12-31,ec1a23a532e5c33a18149aa4843af20f0f999d9f,947.0,39964.0,0.9503695881731784,3.062302006335797,9.503695881731785,66.73706441393875,97.46568109820485,0.0,5.70221752903907
andreasvc_disco-dop,2024-12-31,dc7cc3ec42f9a247b115e4e192c54b29a405a410,28.0,10954.0,0.0,0.0,0.0,89.28571428571429,92.85714285714286,0.0,71.42857142857143
aosp-mirror_tools_repo,2024-12-31,cf411b3f03c3bd6001701136be5a874a85f1dc91,74.0,12950.0,0.0,8.108108108108109,18.91891891891892,100.0,98.64864864864865,0.0,25.675675675675674
apache_libcloud,2024-12-31,44e923662205f2a2413fadb23715dc2934bff625,597.0,93045.0,0.0,0.16750418760469013,3.5175879396984926,61.64154103852596,99.66499162479062,4.1876046901172534,10.385259631490786
aplpy_aplpy,2024-12-31,61fced33ab0324f3349a8d292658d4b65e7693be,43.0,3258.0,0.0,0.0,0.0,95.34883720930233,97.67441860465115,0.0,13.953488372093023
arelle_arelle,2024-12-31,c423e21242d78366179cd7d49d216144d6f28ef5,407.0,78608.0,2.9484029484029484,24.57002457002457,35.13513513513514,57.00245700245701,96.31449631449631,0.0,34.64373464373464
aspp_pelita,2024-12-31,d90818ef567b6ecc52c0fb4bf4ade4d090dcf110,69.0,7305.0,2.898550724637681,1.4492753623188406,8.695652173913043,92.7536231884058,94.20289855072464,0.0,18.84057971014493
astropy_astropy,2024-12-31,19fd077df3561a8fcd90f432b409de20ad6f902d,820.0,165583.0,4.024390243902439,7.560975609756097,11.951219512195122,88.41463414634147,98.29268292682927,0.0,29.146341463414632
astropy_photutils,2024-12-31,f7d8a3e8a51a365f3c942bdf0f4ed09dae342200,158.0,20992.0,0.6329113924050633,0.6329113924050633,0.6329113924050633,96.83544303797468,100.0,0.0,43.037974683544306
