project,files,blank_lines,comments,code_lines
urwid,138,7585,8919,29188
pymatgen,541,35771,55608,165263
helios-server,91,3048,3422,8165
django-cacheops,33,990,397,3145
zest.releaser,23,700,1078,2712
plone.app.discussion,40,1542,1336,5778
git-big-picture,5,249,445,1171
uncertainties,17,1678,3328,2989
mayavi,511,15372,22987,48562
pyramid,330,13459,9263,45516
python,637,9202,7350,29604
teuthology,228,5433,8060,31149
xhtml2pdf,67,2771,3071,12176
aplpy,45,1527,1743,3688
cob_robots,3,43,30,168
oq-engine,961,28925,84457,126352
qgis-django,211,2755,1849,14566
gaupol,248,4607,7241,18999
froide,591,10096,1981,52356
django-oscar,681,11904,6851,49596
pyuploadcare,99,2300,1045,7419
python-for-android,267,4212,4353,15779
beets,191,10972,11355,45457
pelita,72,2587,4623,8468
thbattle,371,13192,7233,40593
mavlink,3,343,501,1019
twisted,1151,71505,119940,204621
mintupdate,22,792,332,4640
latex.tmbundle,10,738,1289,1486
openlibrary,352,12730,8957,51811
frontik,133,2105,134,6821
the-tale,1598,52338,2888,131660
plone.app.portlets,65,1667,1083,6702
logbook,68,2094,1800,6593
gunicorn,162,2601,2444,8743
git-cola,188,8959,6300,35200
pcs,708,29228,41399,209939
qtile,421,13806,17050,51762
thumbor,222,4676,2098,18936
generators,330,26019,44954,91733
taxtastic,50,1636,1801,5075
jsonschema,36,2064,1405,8234
traitsui,585,22308,28417,61127
django-filter,38,2354,953,8111
cinemagoer,102,3095,3687,15751
clam,53,2640,2874,10273
kivy,457,20430,31919,55557
theano,363,34904,54842,128057
glue,238,12049,7812,30075
bodhi,251,11132,16817,46509
sfepy,384,22428,20539,69020
plone.app.event,41,1356,1150,5757
python-library,70,2278,1691,10636
logistics,321,4979,4221,21081
balrog,153,5112,8360,29873
cms,382,13081,17758,36683
reviewboard,998,57406,69899,183973
glideinwms,193,11295,14792,41103
package_control_channel,5,256,151,1639
gpodder,107,5744,5769,19716
pandas,1433,101285,116891,406986
markdown,66,3344,6963,10959
koalixcrm,308,2804,1366,19996
cython,426,18977,20661,88192
kombu,167,8062,5308,27566
mopidy,132,5531,2216,17062
youtube-dl,902,18082,12009,136462
shedskin,400,11827,9108,74062
comics,319,2267,252,7946
glyphs-scripts,343,9022,7704,45046
pyradio,37,5144,8110,38523
tahoe-lafs,369,18774,26225,89457
oz,37,1901,3363,7759
watchdog,53,1964,1784,6388
biopython,598,40680,99266,329845
breathe,37,2144,2035,10865
plone.app.dexterity,67,1085,709,3584
feedparser,51,1008,1615,5782
tornado,107,7543,10226,27900
refl1d,156,5403,9283,17740
peewee,87,9221,2676,37727
erpnext,1515,46334,16707,203572
yokadi,78,1571,1408,5418
scipy,1007,92552,166880,270316
webob,50,6167,5175,19701
specutils,99,4809,5831,12933
pybikes,92,1439,675,4174
hyperspy,345,13776,23999,57566
dnspython,233,8071,9313,34547
bibleorgsys,130,13150,31366,81515
veusz,178,11601,13417,41767
gromacswrapper,53,3203,5262,8303
pyoidc,145,7667,3502,33984
openstates-scrapers,392,10130,4884,58850
cellprofiler,761,27932,33971,147134
funnel,512,12686,10539,66439
wand,37,3721,6825,14201
scikit-learn,873,68068,115662,219635
printrun,53,2630,2585,15060
pyrocko,455,36612,21791,106478
thunderdell,51,1067,1125,5742
copier,47,1658,2941,9870
shakal-ng,316,3466,519,15595
pycsw,63,3841,4023,16081
cobbler,248,10687,17258,42089
django-model-utils,32,1180,648,3669
c2cgeoportal,308,9404,9039,35416
cob_common,,,,
kicad-libraries,5,2343,14868,28337
pycuda,78,3712,3352,11382
tempest,837,18240,27890,86045
bumps,196,7417,14958,22148
goatools,301,4314,75709,195777
petl,167,7795,8502,22146
braintree_python,288,5027,2160,27964
openmc,392,21965,34171,64715
migen,147,2865,1653,17028
open_exoplanet_catalogue,2,110,92,676
weasyprint,142,7478,23378,36977
requests,35,2043,2087,7076
devilry-django,826,17024,11249,97188
esp-website,590,12645,14258,56728
bugwarrior,77,2499,1141,12418
commcare-hq,4460,105100,49315,500549
plone.app.contenttypes,48,979,591,4457
cylc-flow,440,17845,34221,74916
rmg-website,67,2077,3440,8537
photutils,173,9290,18885,24007
autobahn-python,409,13837,20606,42782
pyepics,93,2895,3933,10044
flask-sqlalchemy,39,1213,793,2971
picard,350,11220,19274,70224
mygpo,298,5241,2089,14832
cmonkey2,85,2402,2392,10608
bcbb,174,2412,3936,15748
gitpython,88,5640,8217,18156
pika,80,7645,8007,20797
folia,2,63,130,72
dataox,49,668,534,2746
plata,89,2365,1432,8471
arelle,423,12786,14292,109735
envisage,203,5298,7243,8588
holland,134,2129,2551,7860
starcal,276,7163,7884,46609
pyramid_debugtoolbar,37,1157,958,4356
sick-beard,362,16399,17156,75299
trac,323,16855,22818,76509
django-axes,57,1403,729,4830
django-pagetree,28,796,566,3334
prody,222,17088,12564,52687
werkzeug,132,6699,6377,21733
gubbins,27,748,827,5040
huey,52,1733,903,6080
django-filer,110,1936,1568,8423
hyperopt,54,2644,2278,11213
mapit,147,2040,1871,8717
Rammbock,49,1431,1012,4633
ninja-ide,207,6489,9690,48602
web2py,386,14625,18011,108844
earwigbot,60,1953,3576,7807
pwman3,39,985,1252,3414
radicale,76,1575,2914,8321
volumina,143,4738,5186,17795
pyglossary,260,8194,5654,42445
pyopencl,52,6876,7288,16285
django-tastypie,151,4566,3000,15296
neutron,1609,56015,52807,290498
sos,529,9987,13079,32932
rmg-py,495,25470,75427,130496
ncclient,141,2708,3431,9266
testfixtures,57,2763,1533,10784
django-taggit,55,1077,442,5603
cifonauta,322,3386,3025,14583
ofsite,40,1472,2756,45656
python-markdown2,17,1564,2293,5246
ipython,306,14319,21413,42490
csvkit,44,1278,419,4842
chirpradio-machine,94,1912,2085,6075
akvo-rsr,963,16600,9542,97529
numpy,755,48001,82765,181010
djangopackages,205,2632,1495,13141
nltk,357,20833,41650,77199
disco-dop,31,1820,3264,14373
mozaik,102,5737,8050,18115
voteit.core,171,2731,2557,12288
subliminal,61,3188,2138,12257
coaster,62,4478,5802,15084
svtplay-dl,92,1864,1639,8655
pydici,208,3264,2416,15237
cob_command_tools,57,1208,1497,5273
pysb,144,5366,9945,17597
ckanext-harvest,47,2032,1413,6638
cecog,141,5239,2435,19047
django-haystack,119,5553,2333,21522
libcloud,611,38752,45719,170076
feincms,99,2460,2182,8072
pyftdi,41,2194,3684,11262
couchbase-python-client,252,15845,14780,61717
pip,604,24824,29415,120212
eups,60,4866,7225,17088
tablib,29,1394,1537,3572
dg,756,11179,10009,102767
joblib,89,4855,6729,14472
tilecloud,84,1062,670,4608
spiffworkflow,312,4872,5859,16156
rq,62,3375,3179,11634
python-keystoneclient,203,7516,8559,21648
ofxtools,94,6059,6392,25909
proteus,675,17748,34642,163779
nipap,60,4842,6067,16505
bitbake,260,15383,16930,63004
epicsapps,88,2992,2151,14330
django-mptt,23,1279,2047,5078
ajenti,168,2401,2591,8284
django-cms,363,10290,9294,45055
scrapy,333,11287,6429,49586
inyoka,288,8058,7059,29264
mne-python,839,41230,85247,210531
tardis,279,7888,12148,35221
products.cmfplone,302,6399,4319,28729
readthedocs.org,785,16404,12523,87194
anime-podcast,25,559,420,3077
basemap,134,1480,4137,10138
cement,113,3865,3941,7950
fabric,48,1323,2489,4834
mpmath,146,8315,19367,33650
django-guardian,83,1744,1434,6535
glance,326,16485,15879,73444
django-extensions,205,4230,2502,15366
frescobaldi,351,11122,15368,41763
colander,8,1642,958,5335
friture,116,3424,5184,24230
supybot-plugins,289,3579,9494,13416
spacelog,66,1554,2044,5664
pyfreenet,135,10109,21951,28949
inflect,17,942,569,4831
pontoon,370,8541,6896,36736
timeside,215,4905,3752,15523
salt,2306,130867,187962,512361
mahotas,103,1847,3315,5972
palewi.re,46,458,317,2460
stripe-python,698,20019,85817,160559
bitarray,40,1757,814,8678
xplane2blender,206,5010,3830,22204
pygal,78,2000,2628,9070
nipype,1291,25423,24490,156979
astropy,886,68864,100793,223095
oauthlib,131,4135,6455,11229
veyepar,146,6729,5380,18293
pelican,49,2316,1517,12549
karaage,198,4178,5076,15175
pymel,202,36044,44267,1159976
nipy,405,11561,25646,36746
s3cmd,26,1907,1704,9467
python-novaclient,130,5049,5601,24571
pycodestyle,53,1143,1987,4319
ete,264,8553,9801,54422
plone.app.theming,27,889,580,2935
bottleneck,38,1181,1725,3746
