Merge finished: results.csv
Writed lines: 46349
Lost lines: 322
['openexoplanetcatalogue_open_exoplanet_catalogue', '2015-10-16', '6d13357e4e56d25c75e123ea15a4e121a5156de6', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2015-11-15', 'adc5ec249fdb8d7205c78e1cb5349185ddcf73df', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2015-12-17', '0290adc296417f5c167d81dc89787f219eb6f019', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-01-21', '8d1e6b9f34738b2b986a66be8db7483007878f54', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-03-02', 'b281c35ab30efaf8e2b0ec0923ed032df2631de1', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-04-11', '5db2ccc23f0c3aa1b0ce55f235c504ca325c7f7c', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-05-25', 'db5c07f3108c114c408c700df45ed6a68e0a318f', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-07-10', '5ef2d2779e3a4adac55266bcece13957d23f0f46', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-08-11', 'd4f9345816d4a5e169ad9ac69fc72ac4bf5e64d2', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-10-04', 'ad11f3f890e94b6302528961809f37b5a73936df', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2016-11-09', 'bed322e3aa9cbcdeebac7a2d963c2e693a783c2a', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-02-21', 'e710a4fcb914c291ba5e00824fb9a3835f153a28', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-03-30', '1ae39ebe6522fda0ed979296113e49f4db23ca2c', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-05-29', 'b37248cda5503bab551c6804328858c1ff76b358', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-07-25', '94de43830409ca4a0a45f0e9e68e0a5ea2b6bdfe', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-10-27', '80ff24782e7dd7356986594105982d1e30c93db1', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-11-27', 'ad0d53403fe5641f901f36f9233840d4ca96bbe3', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2017-12-28', '460a8ab138dcbe383e72e531a48b8243d58fbfeb', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2018-02-11', '6f9baa3dfca67bcfb01d400443fda2be7ff89ca3', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2018-03-27', '7c227b10e330c04a1b5b955d2343336e201b35dd', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2018-07-17', 'f28bf55e7580ed43c8045e5ce754e2e65f29625e', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2018-08-16', '8b10409bebdccccbe4d52f6f79cb71af7a197c1a', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2018-09-16', '063fb2ea2322b8980465b1c657ab670660563dad', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2019-06-12', '926109fc08cf2e3ca92642d831c17342c47678d9', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2019-11-09', '5e851674adeb54fa4eb19abe18d7a5a67b570028', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2020-04-16', 'fc532dc6e8b432c3e25f9a1e72d46a3df38fd97c', '3', '3']
['openexoplanetcatalogue_open_exoplanet_catalogue', '2020-06-21', '13ec4573acca9dd5b0a9a4b1e0e8643f4a2c3e9c', '3', '3']
['python-jsonschema_jsonschema', '2014-02-19', 'd97c81177b325010d2a67ad45642f4ff2bf25425', '0', '0']
['python-jsonschema_jsonschema', '2014-12-07', '45cf1fb8a6a0b7ea1ab8de8ea9fc7addb0ffd149', '0', '0']
['python-jsonschema_jsonschema', '2022-01-12', 'aaf8e3125211f6fcda17b0a47e54a74c362202b7', '0', '0']
['swirhen_anime-podcast', '2012-01-12', '5bbd1aa4d511f8cd8eada5cab2ebd1cce6130e42', '0', '0']
['swirhen_anime-podcast', '2012-07-30', 'fcf03cec7d71589c5c6a1e6e89404295f3155b02', '0', '0']
['swirhen_anime-podcast', '2012-10-17', 'cc29186d0cfc5c6cacde8b8e77f9a940dfac930c', '0', '0']
['swirhen_anime-podcast', '2013-02-22', '64229474af4dc5b06a2981327ba9b5a0128e40b2', '0', '0']
['swirhen_anime-podcast', '2013-04-02', '6852e631829deed746e32806d0687fd754651931', '0', '0']
['swirhen_anime-podcast', '2013-11-19', '692526297302414aa718b3861e2578b863e4fd5a', '0', '0']
['swirhen_anime-podcast', '2014-11-28', 'cb7cdf99394225e9bb37cb88ffb171af2de3552a', '0', '0']
['swirhen_anime-podcast', '2016-05-10', '0ceca0a4abcfae1fa6dd2a802412daddab8f2953', '0', '0']
['swirhen_anime-podcast', '2016-06-21', 'beec89c4dfb47f602541315eee1ff2a385ce04b4', '0', '0']
['swirhen_anime-podcast', '2017-04-25', '7c4d8be61578ecba8df6f0b5ea698bf5b2c914a7', '0', '0']
['swirhen_anime-podcast', '2017-05-25', '687cea5dc997a770bfa0bbcf89512b7618381704', '0', '0']
['swirhen_anime-podcast', '2017-06-24', 'a96a8c4ef7381ec52cd44c204cf9223c86abea65', '0', '0']
['swirhen_anime-podcast', '2017-07-24', 'f20e728bbd5c08944a677dcdffc80f753cfa97c4', '0', '0']
['swirhen_anime-podcast', '2017-08-23', '1ee4d39d9e2590d397e76ac0c1830bdb269a59b1', '0', '0']
['swirhen_anime-podcast', '2017-09-22', 'd84fea8608f756d0a5e645c8f0937a16d4636d88', '0', '0']
['swirhen_anime-podcast', '2017-10-22', '3d4ec04e76a5165f976be716631483e78523a5ce', '0', '0']
['swirhen_anime-podcast', '2017-11-21', 'c1fc8c4bae2d5763a008bd5774c183653aed1d2b', '0', '0']
['swirhen_anime-podcast', '2017-12-22', 'f051b40bb57950f8ad6b97c99a0d04947efd23b0', '0', '0']
['swirhen_anime-podcast', '2018-01-21', 'cc7188155981084ca22fa1e7523fa37730d69d47', '0', '0']
['swirhen_anime-podcast', '2018-02-20', 'ecfcad67abdebf5205a98e02ca1349396896aec7', '0', '0']
['swirhen_anime-podcast', '2018-03-22', '8872293f1990410a0da75ec242803268631ff0e4', '0', '0']
['swirhen_anime-podcast', '2018-04-21', 'ef4b6c233d48a7907f7366355c43713592ea5c5e', '0', '0']
['swirhen_anime-podcast', '2018-05-21', '737d137bc7f1db6e0cb972d30a5bb20afc1eaa95', '0', '0']
['swirhen_anime-podcast', '2018-06-20', '0db293ed3ee0f84c3d691e8218733cc8c270a7cb', '0', '0']
['swirhen_anime-podcast', '2018-07-20', '340d055cfa80b5cccd403c49706ac2ef2d8515bd', '0', '0']
['swirhen_anime-podcast', '2018-08-19', '9c411f7e87f239176d86434ae72bafabaa7a88be', '0', '0']
['swirhen_anime-podcast', '2018-09-18', 'd0bf93571e4439b844d20da1d11f36113fce915a', '0', '0']
['swirhen_anime-podcast', '2018-10-18', 'd78fa5ff2aebcd5ea857aa0ec2a20dfe528759a3', '0', '0']
['swirhen_anime-podcast', '2018-11-17', 'c9d44b6e6df9135f8c0c13f6c9b32d60043cb41d', '0', '0']
['swirhen_anime-podcast', '2018-12-17', '7fce5d13f3da3133d91137217e7b1c9327197ba1', '0', '0']
['swirhen_anime-podcast', '2019-01-16', '2f9aa8acd4558ac2bea0d6c1fe735820662ad450', '0', '0']
['swirhen_anime-podcast', '2019-02-15', 'e74f3dc0f809b2e60463da3b0334e3c60ecf564a', '0', '0']
['swirhen_anime-podcast', '2019-03-17', 'b26f3b6c8034b6126777ceb462b69c04ecd38647', '0', '0']
['swirhen_anime-podcast', '2019-04-17', '38b40282411d9fee4e0a9b6995a4f4b71de71b59', '0', '0']
