project,date,commit_hash,files,statements,async_list_comprehensions_files_percentage,async_set_comprehensions_files_percentage,async_dict_comprehensions_files_percentage,async_generator_expressions_files_percentage,matrix_multiplication_files_percentage,async_def_files_percentage,await_expressions_files_percentage,async_for_files_percentage,async_with_files_percentage,fstring_files_percentage,except_star_files_percentage,pattern_match_files_percentage,pattern_as_files_percentage,pattern_or_files_percentage,pattern_sequence_files_percentage,pattern_mapping_files_percentage,pattern_class_files_percentage,pattern_value_files_percentage,pattern_singleton_files_percentage,pattern_star_files_percentage,assign_unpack_files_percentage,list_unpack_files_percentage,tuple_unpack_files_percentage,set_unpack_files_percentage,dict_unpack_files_percentage,call_kwargs_unpack_files_percentage,call_args_unpack_files_percentage,nonlocal_files_percentage,function_args_annotation_files_percentage,function_return_annotation_files_percentage,kw_defaults_files_percentage,kw_args_files_percentage,type_vars_bounds_files_percentage,type_vars_constraints_files_percentage,type_param_spec_files_percentage,type_var_tuple_files_percentage,yield_from_files_percentage,assignment_expression_files_percentage,suppressing_exception_context_files_percentage,variable_annotation_files_percentage
4am-robotics_cob_command_tools,2024-12-31,1f4f470157bf739be96cd611efa7dd4c3f4b5447,44.0,4744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GothenburgBitFactory_bugwarrior,2024-12-31,3ca4c5bb25e289359ba132fd84363592a2648536,74.0,6431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,1.3513513513513513,0.0,0.0,10.81081081081081,10.81081081081081,1.3513513513513513,1.3513513513513513,0.0,0.0,0.0,0.0,9.45945945945946,0.0,0.0,39.189189189189186
MarketSquare_Rammbock,2024-12-31,a55c760d2f07e90478093eeafcc3e907cb6c174e,44.0,3503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustid_acoustid-server,2024-12-31,a3349bafd92e834ae9a584fd480e6e690e9be736,89.0,5569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.224719101123593,22.47191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49438202247191
agateau_yokadi,2024-12-31,6253a763c7fc5324a85b9005fa21521725aaf32d,70.0,4856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajenti_ajenti,2024-12-31,1b339a2013d5d31d6c340afb698cb3f649802abc,134.0,6170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04477611940299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462686567164178,0.7462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462686567164178
akvo_akvo-rsr,2024-12-31,ec1a23a532e5c33a18149aa4843af20f0f999d9f,947.0,39964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.025343189017951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10559662090813093,0.0,0.0,0.0,0.31678986272439286,0.0,0.0,0.0,8.658922914466736,6.019007391763464,0.10559662090813093,0.10559662090813093,0.0,0.0,0.0,0.0,0.10559662090813093,0.9503695881731784,0.0,3.062302006335797
andreasvc_disco-dop,2024-12-31,dc7cc3ec42f9a247b115e4e192c54b29a405a410,28.0,10954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,3.571428571428571,0.0,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0
aosp-mirror_tools_repo,2024-12-31,cf411b3f03c3bd6001701136be5a874a85f1dc91,74.0,12950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.108108108108105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,16.216216216216218,12.162162162162163,5.405405405405405,5.405405405405405,0.0,0.0,0.0,0.0,4.054054054054054,0.0,0.0,8.108108108108109
apache_libcloud,2024-12-31,44e923662205f2a2413fadb23715dc2934bff625,597.0,93045.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469013,0.16750418760469013,0.0,0.0,1.0050251256281406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469013,0.0,0.0,0.16750418760469013,0.0,0.0,0.5025125628140703,3.015075376884422,2.3450586264656614,0.0,0.0,0.0,0.0,0.0,0.0,1.340033500837521,0.0,0.0,0.16750418760469013
