project,date,commit_hash,files,async_list_comprehensions,async_set_comprehensions,async_dict_comprehensions,async_generator_expressions,async_list_comprehensions_files,async_set_comprehensions_files,async_dict_comprehensions_files,async_generator_expressions_files,matrix_multiplication,matrix_multiplication_files,async_def,await_expressions,async_for,async_with,async_def_files,await_expressions_files,async_for_files,async_with_files,fstring,fstring_files,except_star,except_star_with_group,except_star_without_group,raised_exception_group,caught_exception_group,exception_groups,except_star_files,exception_group_files,pattern_match,pattern_as,pattern_or,pattern_sequence,pattern_mapping,pattern_class,pattern_value,pattern_singleton,pattern_star,pattern_match_files,pattern_as_files,pattern_or_files,pattern_sequence_files,pattern_mapping_files,pattern_class_files,pattern_value_files,pattern_singleton_files,pattern_star_files,assign_unpack,list_unpack,tuple_unpack,set_unpack,dict_unpack,call_kwargs_unpack,call_args_unpack,assign_unpack_files,list_unpack_files,tuple_unpack_files,set_unpack_files,dict_unpack_files,call_kwargs_unpack_files,call_args_unpack_files,nonlocal,nonlocal_files,function_args_annotation,function_return_annotation,function_args_annotation_files,function_return_annotation_files,function_with_annotation,function_with_annotation_files,function_without_annotation,function_without_annotation_files,kw_defaults,kw_args,kw_defaults_files,kw_args_files,type_vars_bounds,type_vars_constraints,type_param_spec,type_var_tuple,type_vars_bounds_files,type_vars_constraints_files,type_param_spec_files,type_var_tuple_files,yield_from,yield_from_files,assignment_expression,assignment_expression_files,variable_annotation,variable_annotation_files,assign,assign_files,assign_with_type_comment,assign_with_type_comment_files,aug_assign,aug_assign_files,suppressing_exception_context,suppressing_exception_context_files,statements,errors
scrapy_scrapy,2010-03-20,1dfc79b5d0abf28039b522fb9061362793d3358a,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706,192,0,0,155,22,0,0,9080,38
scrapy_scrapy,2010-04-24,81f6502e3777231e6b0ca8771ddd76696d10a0d6,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,196,0,0,154,24,0,0,9502,41
scrapy_scrapy,2010-05-26,8c1feb7ae4ae7a7a55b9180cba7a53fd55fbcb32,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268,204,0,0,179,28,0,0,10771,42
scrapy_scrapy,2010-06-25,9148321765e8ddaaab23a36c8adc6af5340c3238,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,215,0,0,183,29,0,0,11434,45
scrapy_scrapy,2010-07-28,8781ef3914d1d6bf28db078ada1c7962e2e3cb86,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518,218,0,0,183,28,0,0,11505,45
scrapy_scrapy,2010-08-27,ffad8e08e727162e05f3f791b615d2b67bb6725a,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,207,0,0,75,24,0,0,12014,49
scrapy_scrapy,2010-09-26,5d4e0655d089cf0738846d219a573ae4ab1cf405,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3876,228,0,0,75,26,0,0,12906,51
scrapy_scrapy,2010-10-26,1ead888db879fa8861875f59ff204b75ae778821,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835,235,0,0,76,24,0,0,12869,54
scrapy_scrapy,2010-11-28,1d726063d6b241c96444094551583698ae156e0e,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3868,242,0,0,82,24,0,0,12950,49
scrapy_scrapy,2011-01-02,fe218abbfdf34e10596d3883c4967faa32bf7713,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916,244,0,0,100,25,0,0,13123,49
