commit,file,lineno,code
4a410b25e966e7a71945db418312546212d6e788,funnel/views/helpers.py,492,"match algorithm:
        case 'gzip':
            return gzip.compress(data)
        case 'deflate':
            return zlib.compress(data)
        case 'br':
            return brotli.compress(data)"
4a410b25e966e7a71945db418312546212d6e788,funnel/views/helpers.py,508,"match algorithm:
        case 'gzip':
            return gzip.decompress(data)
        case 'deflate':
            return zlib.decompress(data)
        case 'br':
            return brotli.decompress(data)"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/views/helpers.py,493,"match algorithm:
        case 'gzip':
            return gzip.compress(data)
        case 'deflate':
            return zlib.compress(data)
        case 'br':
            return brotli.compress(data)"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/views/helpers.py,509,"match algorithm:
        case 'gzip':
            return gzip.decompress(data)
        case 'deflate':
            return zlib.decompress(data)
        case 'br':
            return brotli.decompress(data)"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/forms/account.py,390,"match reason:
        case AccountNameProblem.BLANK:
            raise forms.validators.ValidationError(_(""This is required""))
        case AccountNameProblem.LONG:
            raise forms.validators.ValidationError(_(""This is too long""))
        case AccountNameProblem.INVALID:
            raise forms.validators.ValidationError(
                _(""Usernames can only have alphabets, numbers and underscores"")
            )
        case AccountNameProblem.RESERVED:
            raise forms.validators.ValidationError(_(""This username is reserved""))
        case (
            AccountNameProblem.ACCOUNT
            | AccountNameProblem.USER
            | AccountNameProblem.ORG
            | AccountNameProblem.PLACEHOLDER
        ):
            raise forms.validators.ValidationError(_(""This username is taken""))"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/forms/organization.py,61,"match reason:
            case AccountNameProblem.INVALID:
                raise forms.validators.ValidationError(
                    _(""Names can only have alphabets, numbers and underscores"")
                )
            case AccountNameProblem.RESERVED:
                raise forms.validators.ValidationError(_(""This name is reserved""))
            case AccountNameProblem.USER:
                if self.edit_user.name_is(field.data):
                    raise forms.validators.ValidationError(
                        Markup(
                            _(
                                'This is <em>your</em> current username.'
                                ' You must change it first from <a href=""'
                                '{account}"">your account</a> before you can assign it'
                                ' to an organization'
                            ).format(account=url_for('account'))
                        )
                    )
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another user"")
                )
            case AccountNameProblem.ORG:
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another organization"")
                )
            case _:
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another account"")
                )"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/models/account.py,1801,"match existing:
                case User():
                    return AccountNameProblem.USER
                case Organization():
                    return AccountNameProblem.ORG
                case Placeholder():
                    return AccountNameProblem.PLACEHOLDER
                case _:
                    return AccountNameProblem.ACCOUNT"
dea6dca24179c12b791b031d570044f7be01b07f,funnel/models/update.py,269,"match value:
            case 'public':
                vstate = VISIBILITY_STATE.PUBLIC
            case 'participants':
                vstate = VISIBILITY_STATE.PARTICIPANTS
            case 'members':
                vstate = VISIBILITY_STATE.MEMBERS
            case _:
                raise ValueError(""Unknown visibility state"")"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/views/helpers.py,571,"match algorithm:
        case 'gzip':
            return gzip.compress(data)
        case 'deflate':
            return zlib.compress(data)
        case 'br':
            return brotli.compress(data)"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/views/helpers.py,587,"match algorithm:
        case 'gzip':
            return gzip.decompress(data)
        case 'deflate':
            return zlib.decompress(data)
        case 'br':
            return brotli.decompress(data)"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/views/account.py,266,"match client_hints.get('sec-ch-ua-mobile'):
            case '?0':
                mobile = False
            case '?1':
                mobile = True"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/forms/account.py,390,"match reason:
        case AccountNameProblem.BLANK:
            raise forms.validators.ValidationError(_(""This is required""))
        case AccountNameProblem.LONG:
            raise forms.validators.ValidationError(_(""This is too long""))
        case AccountNameProblem.INVALID:
            raise forms.validators.ValidationError(
                _(""Usernames can only have alphabets, numbers and underscores"")
            )
        case AccountNameProblem.RESERVED:
            raise forms.validators.ValidationError(_(""This username is reserved""))
        case (
            AccountNameProblem.ACCOUNT
            | AccountNameProblem.USER
            | AccountNameProblem.ORG
            | AccountNameProblem.PLACEHOLDER
        ):
            raise forms.validators.ValidationError(_(""This username is taken""))"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/forms/organization.py,61,"match reason:
            case AccountNameProblem.INVALID:
                raise forms.validators.ValidationError(
                    _(""Names can only have alphabets, numbers and underscores"")
                )
            case AccountNameProblem.RESERVED:
                raise forms.validators.ValidationError(_(""This name is reserved""))
            case AccountNameProblem.USER:
                if self.edit_user.name_is(field.data):
                    raise forms.validators.ValidationError(
                        Markup(
                            _(
                                'This is <em>your</em> current username.'
                                ' You must change it first from <a href=""'
                                '{account}"">your account</a> before you can assign it'
                                ' to an organization'
                            ).format(account=url_for('account'))
                        )
                    )
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another user"")
                )
            case AccountNameProblem.ORG:
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another organization"")
                )
            case _:
                raise forms.validators.ValidationError(
                    _(""This name has been taken by another account"")
                )"
ef5e23422a13255054dfe106a5f7cde4e1543108,funnel/models/update.py,274,"match value:
            case 'public':
                vstate = VISIBILITY_STATE.PUBLIC
            case 'participants':
                vstate = VISIBILITY_STATE.PARTICIPANTS
            case 'members':
                vstate = VISIBILITY_STATE.MEMBERS
            case _:
                raise ValueError(""Unknown visibility state"")"
