project,date,commit_hash,files,statements,Asynchronous Comprehensions,Asynchronous Comprehensions,Asynchronous Comprehensions,Asynchronous Generators,Matrix Multiplication,Coroutines (async and await syntax),Coroutines (async and await syntax),Coroutines (async and await syntax),Coroutines (async and await syntax),Formatted String Literals (f-strings),Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Structural Pattern Matching,Extended Iterable Unpacking,Additional Unpacking Generalizations,Additional Unpacking Generalizations,Additional Unpacking Generalizations,Additional Unpacking Generalizations,Additional Unpacking Generalizations,Additional Unpacking Generalizations,Nonlocal Statements,Function Annotations,Function Annotations,Keyword-only Arguments,Keyword-only Arguments,Type Parameter Syntax,Type Parameter Syntax,Type Parameter Syntax,Type Parameter Syntax,Yield From Expression,Assignment Expression,Suppressing Exception Context,Variable Annotation,Except (*),ExceptionGroup
4am-robotics_cob_command_tools,2024-12-31,1f4f470157bf739be96cd611efa7dd4c3f4b5447,44.0,4744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GothenburgBitFactory_bugwarrior,2024-12-31,3ca4c5bb25e289359ba132fd84363592a2648536,74.0,6431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.891891891891895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,1.3513513513513513,0.0,0.0,12.162162162162163,10.81081081081081,1.3513513513513513,1.3513513513513513,0.0,0.0,0.0,0.0,9.45945945945946,0.0,0.0,39.189189189189186,0.0,0.0
MarketSquare_Rammbock,2024-12-31,a55c760d2f07e90478093eeafcc3e907cb6c174e,44.0,3503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustid_acoustid-server,2024-12-31,a3349bafd92e834ae9a584fd480e6e690e9be736,89.0,5569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.47191011235955,24.719101123595504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49438202247191,0.0,0.0
agateau_yokadi,2024-12-31,6253a763c7fc5324a85b9005fa21521725aaf32d,70.0,4856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajenti_ajenti,2024-12-31,1b339a2013d5d31d6c340afb698cb3f649802abc,134.0,6170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04477611940299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462686567164178,0.7462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462686567164178,0.0,0.0
akvo_akvo-rsr,2024-12-31,ec1a23a532e5c33a18149aa4843af20f0f999d9f,947.0,39964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130939809926083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10559662090813093,0.0,0.0,0.0,0.31678986272439286,0.0,0.0,0.0,8.764519535374868,6.019007391763464,0.10559662090813093,0.10559662090813093,0.0,0.0,0.0,0.0,0.10559662090813093,0.9503695881731784,0.0,2.956705385427666,0.0,0.0
andreasvc_disco-dop,2024-12-31,dc7cc3ec42f9a247b115e4e192c54b29a405a410,28.0,10954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,3.571428571428571,0.0,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0
aosp-mirror_tools_repo,2024-12-31,cf411b3f03c3bd6001701136be5a874a85f1dc91,74.0,12950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,0.0,0.0,1.3513513513513513,14.864864864864865,10.81081081081081,6.756756756756757,6.756756756756757,0.0,0.0,0.0,0.0,4.054054054054054,0.0,0.0,8.108108108108109,0.0,0.0
apache_libcloud,2024-12-31,44e923662205f2a2413fadb23715dc2934bff625,597.0,93045.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469013,0.16750418760469013,0.0,0.0,1.0050251256281406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16750418760469013,0.0,0.0,0.16750418760469013,0.0,0.0,0.5025125628140703,3.350083752093802,2.1775544388609713,0.0,0.0,0.0,0.0,0.0,0.0,1.507537688442211,0.0,0.0,0.16750418760469013,0.0,0.0
aplpy_aplpy,2024-12-31,61fced33ab0324f3349a8d292658d4b65e7693be,43.0,3258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arelle_arelle,2024-12-31,c423e21242d78366179cd7d49d216144d6f28ef5,407.0,78608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14742014742015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211302211302211,0.7371007371007371,0.0,0.0,0.0,0.0,0.0,30.71253071253071,34.15233415233415,0.2457002457002457,0.2457002457002457,0.0,0.0,0.0,0.0,0.4914004914004914,2.9484029484029484,0.0,25.307125307125304,0.0,0.0
aspp_pelita,2024-12-31,d90818ef567b6ecc52c0fb4bf4ade4d090dcf110,69.0,7305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,1.4492753623188406,0.0,2.898550724637681,0.0,7.246376811594203,5.797101449275362,11.594202898550725,11.594202898550725,0.0,0.0,0.0,0.0,0.0,2.898550724637681,4.3478260869565215,1.4492753623188406,0.0,0.0
astropy_astropy,2024-12-31,19fd077df3561a8fcd90f432b409de20ad6f902d,820.0,165583.0,0.0,0.0,0.0,0.0,2.4390243902439024,0.0,0.0,0.0,0.0,48.78048780487805,0.3658536585365854,0.3658536585365854,0.24390243902439024,0.3658536585365854,0.0,0.0,0.24390243902439024,0.0,0.24390243902439024,0.6097560975609756,0.6097560975609756,1.4634146341463417,0.0,1.097560975609756,0.6097560975609756,1.2195121951219512,0.12195121951219512,11.585365853658537,11.341463414634147,10.487804878048781,10.487804878048781,0.0,0.0,0.0,0.0,1.3414634146341464,4.024390243902439,1.707317073170732,7.073170731707316,0.0,0.0
astropy_photutils,2024-12-31,f7d8a3e8a51a365f3c942bdf0f4ed09dae342200,158.0,20992.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,27.848101265822784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5316455696202533,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.6329113924050633,20.253164556962027,20.253164556962027,0.0,0.0,0.0,0.0,0.6329113924050633,0.6329113924050633,0.0,0.6329113924050633,0.0,0.0
astropy_specutils,2024-12-31,248f86e8e58502af256df9874d8bb3455240e307,89.0,9987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34831460674157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1235955056179776,0.0,5.617977528089887,5.617977528089887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baliga-lab_cmonkey2,2024-12-31,aeabf13ae133cb72d8fe0861b8cac0afcf1beb55,79.0,8283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batiste_django-page-cms,2024-12-31,f19e42e2bda51581a1aa8a46377efa17524619c8,71.0,4482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
